排名,代码,名称,最新价,成交额(亿元)
1,US.MU,,0.0,0.0
2,US.NVDA,,0.0,0.0
3,US.SNDK,,0.0,0.0
4,US.INTC,,0.0,0.0
5,US.MSFT,,0.0,0.0
6,US.TSLA,,0.0,0.0
7,US.MRVL,,0.0,0.0
8,US.AMD,,0.0,0.0
9,US.AVGO,,0.0,0.0
10,US.GOOGL,,0.0,0.0
11,US.AAPL,,0.0,0.0
12,US.ORCL,,0.0,0.0
13,US.GOOG,,0.0,0.0
14,US.META,,0.0,0.0
15,US.AMZN,,0.0,0.0
16,US.SMCI,,0.0,0.0
17,US.AMAT,,0.0,0.0
18,US.TSM,,0.0,0.0
19,US.ASML,,0.0,0.0
20,US.LRCX,,0.0,0.0
21,US.KLAC,,0.0,0.0
22,US.LITE,,0.0,0.0
23,US.ADBE,,0.0,0.0
24,US.GEV,,0.0,0.0
25,US.QCOM,,0.0,0.0
26,US.PLTR,,0.0,0.0
27,US.HOOD,,0.0,0.0
28,US.CRDO,,0.0,0.0
29,US.WDC,,0.0,0.0
30,US.LLY,,0.0,0.0
31,US.NBIS,,0.0,0.0
32,US.CAT,,0.0,0.0
33,US.DELL,,0.0,0.0
34,US.CSCO,,0.0,0.0
35,US.ARM,,0.0,0.0
36,US.NOW,,0.0,0.0
37,US.TXN,,0.0,0.0
38,US.RKLB,,0.0,0.0
39,US.APP,,0.0,0.0
40,US.JPM,,0.0,0.0
41,US.CRM,,0.0,0.0
42,US.BRK.B,,0.0,0.0
43,US.NFLX,,0.0,0.0
44,US.WMT,,0.0,0.0
45,US.IREN,,0.0,0.0
46,US.PANW,,0.0,0.0
47,US.GS,,0.0,0.0
48,US.SMCIV,,0.0,0.0
49,US.XOM,,0.0,0.0
50,US.AAOI,,0.0,0.0
51,US.CRWD,,0.0,0.0
52,US.STX,,0.0,0.0
53,US.ASTS,,0.0,0.0
54,US.COHR,,0.0,0.0
55,US.BE,,0.0,0.0
56,US.AAL,,0.0,0.0
57,US.CRWV,,0.0,0.0
58,US.IBM,,0.0,0.0
59,US.MSTR,,0.0,0.0
60,US.ALAB,,0.0,0.0
61,US.SATS,,0.0,0.0
62,US.UNH,,0.0,0.0
63,US.ADI,,0.0,0.0
64,US.V,,0.0,0.0
65,US.TER,,0.0,0.0
66,US.SNOW,,0.0,0.0
67,US.COST,,0.0,0.0
68,US.MA,,0.0,0.0
69,US.BABA,,0.0,0.0
70,US.APH,,0.0,0.0
71,US.JNJ,,0.0,0.0
72,US.BAC,,0.0,0.0
73,US.CVX,,0.0,0.0
74,US.UBER,,0.0,0.0
75,US.GLW,,0.0,0.0
76,US.C,,0.0,0.0
77,US.INTU,,0.0,0.0
78,US.AMGN,,0.0,0.0
79,US.MRK,,0.0,0.0
80,US.VRT,,0.0,0.0
81,US.NXPI,,0.0,0.0
82,US.HD,,0.0,0.0
83,US.GE,,0.0,0.0
84,US.BA,,0.0,0.0
85,US.IONQ,,0.0,0.0
86,US.HON,,0.0,0.0
87,US.MCHP,,0.0,0.0
88,US.MPWR,,0.0,0.0
89,US.CVS,,0.0,0.0
90,US.ON,,0.0,0.0
91,US.STM,,0.0,0.0
92,US.ABT,,0.0,0.0
93,US.TMUS,,0.0,0.0
94,US.CIEN,,0.0,0.0
95,US.BKNG,,0.0,0.0
96,US.NOK,,0.0,0.0
97,US.MCD,,0.0,0.0
98,US.CPNG,,0.0,0.0
99,US.VZ,,0.0,0.0
100,US.CEG,,0.0,0.0
101,US.PEP,,0.0,0.0
102,US.PFE,,0.0,0.0
103,US.KO,,0.0,0.0
104,US.RTX,,0.0,0.0
105,US.TJX,,0.0,0.0
106,US.DDOG,,0.0,0.0
107,US.LIN,,0.0,0.0
108,US.RDW,,0.0,0.0
109,US.HPE,,0.0,0.0
110,US.SOFI,,0.0,0.0
111,US.COIN,,0.0,0.0
112,US.GILD,,0.0,0.0
113,US.COF,,0.0,0.0
114,US.FTNT,,0.0,0.0
115,US.SBUX,,0.0,0.0
116,US.MELI,,0.0,0.0
117,US.ABBV,,0.0,0.0
118,US.ETN,,0.0,0.0
119,US.SCHW,,0.0,0.0
120,US.PM,,0.0,0.0
121,US.PG,,0.0,0.0
122,US.MS,,0.0,0.0
123,US.FCX,,0.0,0.0
124,US.NEM,,0.0,0.0
125,US.RGTI,,0.0,0.0
126,US.SHW,,0.0,0.0
127,US.CME,,0.0,0.0
128,US.DIS,,0.0,0.0
129,US.SPOT,,0.0,0.0
130,US.FIX,,0.0,0.0
131,US.ADSK,,0.0,0.0
132,US.KDP,,0.0,0.0
133,US.WFC,,0.0,0.0
134,US.BSX,,0.0,0.0
135,US.SNPS,,0.0,0.0
136,US.SHOP,,0.0,0.0
137,US.CBRS,,0.0,0.0
138,US.TT,,0.0,0.0
139,US.T,,0.0,0.0
140,US.ACN,,0.0,0.0
141,US.SPGI,,0.0,0.0
142,US.VLO,,0.0,0.0
143,US.BLK,,0.0,0.0
144,US.ELV,,0.0,0.0
145,US.TMO,,0.0,0.0
146,US.FDX,,0.0,0.0
147,US.CVNA,,0.0,0.0
148,US.PPCB,,0.0,0.0
149,US.HAL,,0.0,0.0
150,US.ISRG,,0.0,0.0
151,US.ANET,,0.0,0.0
152,US.CCL,,0.0,0.0
153,US.PDD,,0.0,0.0
154,US.AXP,,0.0,0.0
155,US.CDNS,,0.0,0.0
156,US.CASY,,0.0,0.0
157,US.NUVL,,0.0,0.0
158,US.WELL,,0.0,0.0
159,US.COP,,0.0,0.0
160,US.AXTI,,0.0,0.0
161,US.UNP,,0.0,0.0
162,US.WDAY,,0.0,0.0
163,US.MMM,,0.0,0.0
164,US.URI,,0.0,0.0
165,US.LMT,,0.0,0.0
166,US.ROST,,0.0,0.0
167,US.NKE,,0.0,0.0
168,US.RCL,,0.0,0.0
169,US.VST,,0.0,0.0
170,US.DASH,,0.0,0.0
171,US.UAL,,0.0,0.0
172,US.NEE,,0.0,0.0
173,US.WULF,,0.0,0.0
174,US.CRCL,,0.0,0.0
175,US.DE,,0.0,0.0
176,US.SPCE,,0.0,0.0
177,US.NET,,0.0,0.0
178,US.EDHL,,0.0,0.0
179,US.SAP,,0.0,0.0
180,US.F,,0.0,0.0
181,US.DVN,,0.0,0.0
182,US.APLD,,0.0,0.0
183,US.OXY,,0.0,0.0
184,US.MDT,,0.0,0.0
185,US.LUNR,,0.0,0.0
186,US.MTSI,,0.0,0.0
187,US.CMI,,0.0,0.0
188,US.CLS,,0.0,0.0
189,US.MCK,,0.0,0.0
190,US.FSLR,,0.0,0.0
191,US.HWM,,0.0,0.0
192,US.DHR,,0.0,0.0
193,US.DAL,,0.0,0.0
194,US.AMT,,0.0,0.0
195,US.PWR,,0.0,0.0
196,US.HCA,,0.0,0.0
197,US.CRH,,0.0,0.0
198,US.CAH,,0.0,0.0
199,US.ADP,,0.0,0.0
200,US.SYK,,0.0,0.0
